Iteration	Posterior	Likelihood	Prior	r1	r2
0	-8.77703	-14.7258	5.94877	0.001696953	0.0004375424
500	-8.38672	-14.35	5.96327	0.001130596	0.000279097
1000	-11.9818	-17.8532	5.87141	0.005956429	4.610272e-05
1500	-12.793	-18.6052	5.81225	0.008813048	0.0001477628
2000	-12.6026	-18.4924	5.88977	0.003856406	0.00122826
2500	-7.33743	-13.3201	5.98262	9.981858e-05	0.0003421883
3000	-9.34404	-15.2956	5.95159	0.001203887	0.0007899665
3500	-7.54212	-13.5236	5.98153	0.00022392	0.0002728784
4000	-8.90236	-14.8487	5.94629	0.001855334	0.0004032868
4500	-7.77059	-13.7584	5.9878	1.877387e-06	0.0001813049
5000	-9.79193	-15.7172	5.9253	0.002867052	0.0004411626
5500	-10.2007	-16.1202	5.91955	0.003247224	0.0003484187
6000	-9.09776	-15.0624	5.96462	0.0005101098	0.0008323155
6500	-10.1368	-16.0534	5.91667	0.003250895	0.0004886838
7000	-12.2094	-18.0636	5.85425	0.00665665	0.0002041336
7500	-7.93771	-13.9231	5.98541	0.0001264422	0.0001762368
8000	-7.54546	-13.5228	5.9773	0.0002948837	0.0004131476
8500	-7.63294	-13.617	5.98407	0.0001438343	0.0002259456
9000	-8.67603	-14.6305	5.95443	0.001533302	0.0003185754
9500	-7.51603	-13.4943	5.97824	0.00022766	0.0004337735
10000	-9.12708	-15.09	5.96291	0.001256506	0.0001712409
10500	-10.3646	-16.3112	5.94656	0.001230671	0.001014539
11000	-8.92134	-14.8689	5.94753	0.001632299	0.0005644151
11500	-8.43189	-14.3906	5.95866	0.001107262	0.00053275
12000	-8.2222	-14.1946	5.97241	0.0002903811	0.000662101
12500	-8.93256	-14.8799	5.94739	0.001635749	0.0005681171
13000	-7.35827	-13.3425	5.98423	7.033641e-05	0.0002913083
13500	-7.76732	-13.7451	5.97783	0.0001091114	0.0005723995
14000	-7.4137	-13.3941	5.98036	0.0001439679	0.0004113207
14500	-8.63294	-14.5857	5.95277	0.001550901	0.0003838831
15000	-7.45457	-13.4342	5.9796	0.0002309217	0.0003623616
15500	-8.37395	-14.3461	5.97219	0.0007611223	0.0002027534
16000	-7.33871	-13.3219	5.9832	9.06001e-05	0.0003223917
16500	-12.1933	-18.0538	5.86056	0.006293715	0.0002516536
17000	-9.42936	-15.3967	5.96735	0.001074711	0.0001308153
17500	-9.93855	-15.8636	5.92502	0.002664977	0.0006570646
18000	-7.5133	-13.4972	5.98387	0.0001279723	0.0002516318
18500	-11.2668	-17.1859	5.91913	0.002555506	0.00106113
19000	-10.6808	-16.6025	5.92167	0.002579263	0.0009105047
19500	-8.17783	-14.1419	5.96405	0.0008648055	0.0005060586
20000	-8.23939	-14.2062	5.96678	0.0006385706	0.0005954954
20500	-8.27347	-14.2463	5.97278	0.0002525415	0.00068163
21000	-8.77235	-14.7255	5.95315	0.001609672	0.0003058591
21500	-7.36035	-13.3421	5.98174	6.397269e-05	0.0004224521
22000	-8.73853	-14.691	5.95249	0.001377104	0.0005718287
