Iteration	Posterior	Likelihood	Prior	r1	r2
48500	-8.60389	-12.9372	4.33333	0.001856281	0.08105049
49000	-8.13637	-12.4372	4.30083	0.003854558	0.08067695
49500	-1.4331	-7.36328	5.93018	2.163614e-06	0.00306209
50000	-7.67154	-12.6532	4.9817	0.001417872	0.04907047
50500	-9.20493	-12.5247	3.31976	0.004351117	0.1292343
51000	-2.26471	-8.14811	5.88341	2.99157e-05	0.005372884
51500	-7.77796	-12.4467	4.66871	0.003114793	0.06302297
52000	-10.6062	-13.6978	3.09161	0.01326076	0.1317319
52500	-1.52365	-7.46164	5.93799	1.981608e-05	0.002653945
53000	-10.6459	-15.6373	4.99145	0.006549982	0.04345087
53500	-7.27043	-12.4668	5.19641	0.001406912	0.0383459
54000	-2.28387	-8.24394	5.96007	8.981265e-05	0.001479947
54500	-6.16303	-11.9334	5.77033	0.000801854	0.01025488
55000	-1.92152	-7.84476	5.92324	6.904144e-05	0.003342288
55500	-1.71893	-7.66961	5.95068	3.951213e-05	0.001999529
56000	-3.16623	-9.04903	5.8828	0.0002096109	0.005223807
56500	-10.1064	-12.4852	2.37876	0.006260842	0.1743745
57000	-1.73462	-7.65828	5.92366	4.072884e-05	0.003349274
57500	-10.5337	-12.4279	1.89422	0.00869105	0.1961714
58000	-2.69794	-8.58644	5.8885	0.000133118	0.005015003
58500	-2.7797	-8.63609	5.85638	4.116593e-06	0.006749943
59000	-1.85118	-7.77666	5.92548	6.054052e-05	0.003238821
59500	-4.25255	-10.0831	5.8305	0.0002687299	0.007779291
60000	-3.27867	-9.16487	5.88621	0.0002409206	0.005021986
60500	-8.11939	-12.6786	4.55924	0.004393959	0.0672171
61000	-10.8998	-12.5416	1.64183	0.01188016	0.2056016
61500	-2.58704	-8.48502	5.89797	0.0001371598	0.00453734
62000	-7.85001	-12.5182	4.6682	0.003520819	0.06264226
62500	-8.88141	-13.0137	4.13233	0.006807038	0.08614952
63000	-3.32887	-9.24157	5.91269	0.0002879263	0.003650552
63500	-13.7218	-16.1416	2.41982	0.02496224	0.15362
64000	-10.8159	-13.2919	2.47598	0.01427612	0.161498
64500	-2.16827	-8.09244	5.92416	0.0001078888	0.003257225
65000	-2.62255	-8.51733	5.89478	0.0001359472	0.004698468
