Iteration	Posterior	Likelihood	Prior	r1	r2
0	-9.78944	-14.6573	4.86783	0.007881203	0.04830077
500	-10.0984	-14.7216	4.62321	0.02520092	0.04321204
1000	-8.61657	-13.8134	5.19682	0.01037887	0.02935339
1500	-10.2982	-13.8013	3.50312	0.02756045	0.09685658
2000	-8.79665	-13.971	5.17433	0.007779401	0.03307717
2500	-9.77887	-14.1257	4.34687	0.02596113	0.05626838
3000	-10.3809	-13.7782	3.39731	0.0305826	0.09912516
3500	-10.9977	-13.7896	2.79193	0.03625164	0.1237251
4000	-11.6223	-15.3627	3.74038	0.012711	0.09984347
4500	-9.16545	-13.8589	4.69346	0.01788746	0.04701285
5000	-10.8102	-13.7785	2.96829	0.03558259	0.115576
5500	-13.0857	-13.7957	0.710066	0.06781095	0.196259
6000	-8.78311	-14.1998	5.41672	0.004899802	0.02383728
6500	-9.07772	-14.6876	5.60992	0.002760184	0.01631729
7000	-11.0645	-13.8974	2.83285	0.03156102	0.1263695
7500	-9.54698	-13.8005	4.25348	0.02249108	0.06440813
8000	-9.23444	-13.8185	4.58403	0.01865747	0.05171449
8500	-10.394	-14.2192	3.82522	0.03528827	0.07302419
9000	-10.8999	-14.0666	3.16662	0.04359804	0.0976443
9500	-10.0212	-13.9813	3.96009	0.03018972	0.07137902
10000	-13.0573	-13.8536	0.796289	0.07128947	0.1884693
10500	-9.35135	-14.2346	4.88329	0.01813533	0.03727346
11000	-11.4106	-15.2072	3.79663	0.04392163	0.06581997
11500	-9.47437	-14.0784	4.60406	0.02151338	0.04785662
12000	-9.29707	-14.4776	5.18051	0.006081473	0.03446646
12500	-8.52695	-13.8001	5.2732	0.009092932	0.02682039
13000	-11.5263	-15.0355	3.50915	0.04835942	0.07575645
13500	-11.3255	-14.6114	3.28595	0.01927679	0.1159987
14000	-11.5212	-14.1983	2.67711	0.05363224	0.1120856
14500	-10.391	-13.9732	3.58216	0.03566259	0.08480278
15000	-10.876	-14.7052	3.82922	0.01491616	0.09319629
15500	-8.42088	-13.9585	5.53762	0.004596586	0.01809577
16000	-9.85798	-14.8536	4.99562	0.01879959	0.03099288
16500	-8.86805	-13.839	4.97094	0.0138051	0.03722101
17000	-12.1624	-14.0748	1.91237	0.0364075	0.167547
17500	-8.57867	-14.1702	5.59156	0.00618459	0.01381041
18000	-11.3787	-14.0325	2.65382	0.05078587	0.1160963
18500	-9.83306	-13.7817	3.94859	0.02536253	0.07678122
19000	-9.03269	-13.889	4.85628	0.01142627	0.04533285
19500	-9.61445	-14.2028	4.58839	0.01175623	0.05839758
20000	-8.31863	-13.8513	5.53264	0.005639277	0.01730211
20500	-9.09729	-14.6427	5.54544	0.003233526	0.01906781
21000	-8.66574	-13.971	5.30522	0.006573433	0.02773875
21500	-8.74822	-13.8518	5.10356	0.009270397	0.0351246
22000	-11.7369	-14.0254	2.28845	0.0339694	0.1511811
22500	-9.99784	-15.8954	5.89761	0.00138199	0.003310891
23000	-8.84753	-14.1184	5.27084	0.006327477	0.02970384
23500	-13.8351	-19.1391	5.30404	0.01930996	0.01506109
24000	-11.701	-13.787	2.08603	0.04925679	0.146015
24500	-9.85666	-14.0283	4.17164	0.01666598	0.07432517
25000	-10.3797	-14.1583	3.77858	0.03533493	0.07530912
25500	-10.6748	-15.1905	4.51571	0.02945759	0.04433011
