Iteration	Posterior	Likelihood	Prior	r1	r2
0	-5.28168	-9.00082	3.71914	0.1091366	0.004479693
500	-4.75107	-9.36945	4.61839	0.06486655	0.003787352
1000	-5.00179	-8.93593	3.93414	0.09948674	0.003379708
1500	-4.77176	-8.93216	4.1604	0.08865791	0.002895423
2000	-5.41667	-9.00029	3.58362	0.1175666	0.002825656
2500	-4.94226	-8.96341	4.02114	0.09598881	0.002527272
3000	-5.15487	-9.21141	4.05653	0.0919518	0.004794677
3500	-4.59346	-9.48945	4.89599	0.05154254	0.003231041
4000	-4.23545	-9.47637	5.24092	0.03702678	0.0005004844
4500	-5.19294	-8.94334	3.7504	0.1089636	0.003089441
5000	-5.41819	-9.09793	3.67974	0.1132783	0.00230813
5500	-5.7613	-11.2048	5.44355	0.024629	0.002766766
6000	-3.56393	-8.97911	5.41518	0.02813397	0.0006802066
6500	-5.54166	-9.19019	3.64853	0.1114382	0.005708378
7000	-5.54664	-10.6335	5.08682	0.04127364	0.003958682
7500	-3.57777	-8.96595	5.38818	0.02942617	0.0007381687
8000	-7.83689	-10.2374	2.40052	0.1654624	0.01408478
8500	-4.67917	-9.2299	4.55073	0.0708131	0.001223715
9000	-5.46118	-9.1771	3.71593	0.1117241	0.002052824
9500	-3.89037	-9.52363	5.63326	0.01772918	0.0001812194
10000	-5.61099	-9.27371	3.66273	0.1145492	0.001887715
10500	-6.22443	-9.16538	2.94095	0.1452464	0.007279233
11000	-6.44166	-8.93998	2.49832	0.1697591	0.004898041
11500	-4.45871	-9.17769	4.71898	0.06055452	0.003069807
12000	-3.57629	-8.94171	5.36542	0.0301716	0.001130499
12500	-8.63912	-9.15655	0.517437	0.2607394	0.01296195
13000	-8.27296	-8.97115	0.698193	0.2580186	0.006644949
13500	-9.68842	-12.2287	2.54026	0.152059	0.02050145
14000	-7.7164	-9.66791	1.95151	0.189051	0.01294663
14500	-10.411	-10.6662	0.255206	0.2615601	0.0252528
15000	-10.5067	-11.747	1.24035	0.2114657	0.02608983
15500	-4.34417	-9.37579	5.03161	0.04532991	0.002662725
16000	-5.66502	-11.1117	5.44666	0.02454002	0.002700098
16500	-9.69667	-9.0062	-0.690479	0.3208054	0.01329177
17000	-7.0581	-9.25517	2.19707	0.1800057	0.009713885
17500	-4.22486	-8.94043	4.71557	0.06201272	0.001781821
18000	-3.61272	-8.92428	5.31155	0.03287831	0.001117187
18500	-4.77217	-9.23898	4.4668	0.07495081	0.001282272
19000	-3.77947	-9.40915	5.62968	0.01700936	0.001079623
19500	-6.93251	-11.6833	4.7508	0.05529409	0.006739284
20000	-3.5675	-8.91895	5.35145	0.03105059	0.0009501442
20500	-6.08239	-9.7593	3.6769	0.1080233	0.007704862
21000	-6.33386	-10.5269	4.19308	0.08935054	0.0005684813
21500	-7.24555	-8.9347	1.68914	0.2081156	0.007000476
22000	-5.53507	-9.73061	4.19554	0.08388674	0.005909343
22500	-4.18945	-9.10505	4.9156	0.05136369	0.002429674
23000	-4.26529	-9.01535	4.75006	0.06065665	0.00141353
23500	-6.31287	-8.95457	2.6417	0.1630701	0.004418073
24000	-8.6476	-8.93264	0.285042	0.2762331	0.009088009
24500	-5.6008	-8.96266	3.36186	0.1281	0.003380449
25000	-4.43782	-8.93845	4.50063	0.07205147	0.002490038
25500	-5.83013	-8.95113	3.121	0.1384688	0.00505445
26000	-7.51324	-8.93649	1.42325	0.2218658	0.006544873
26500	-5.37215	-8.98744	3.61529	0.1142362	0.004572558
27000	-3.36232	-9.12227	5.75995	0.01109807	0.0004777399
