Iteration	Posterior	Likelihood	Prior	r12	r14	r15	r2	r3	r5	r8	r9
23000	-5.98594	-18.7946	12.8087	0.04532863	0.0003480247	0.0003055654	0.07605615	0.06003894	0.234736	0.01659645	0.12445
23500	-1.72506	-18.8328	17.1078	0.036503	0.0006914889	0.00148244	0.01232146	0.0320723	0.2151515	0.0310909	0.01359082
24000	0.481154	-18.0146	18.4958	0.01513297	0.001528452	0.000435228	0.00225265	0.009884569	0.07082893	0.1717567	0.001683806
24500	-10.645	-22.1088	11.4638	0.08838182	0.01319652	0.001164276	0.03933105	0.0188872	0.05410555	0.3180047	0.0920324
25000	0.793504	-19.223	20.0165	0.00817627	0.0007499457	0.0001375189	0.05776498	0.01672593	0.04312831	0.06639511	0.004390136
25500	-3.40012	-19.244	15.8439	0.1873959	0.0002158541	0.005391609	0.03504865	0.003831433	0.01551896	0.1459235	0.01277234
26000	-3.07665	-20.199	17.1223	0.07710172	0.002417496	0.001035483	0.04394095	0.06340179	0.1537787	0.0002448326	0.0002568683
26500	-8.80262	-19.8962	11.0936	0.1317545	0.007759393	0.005520701	0.01086935	0.05382157	0.003314405	0.4049661	0.02560662
27000	-7.0291	-21.6963	14.6672	0.1384611	0.0009004376	0.01296675	0.03803652	0.03487518	0.1829214	0.03766507	0.01910631
27500	-4.19603	-20.1293	15.9333	0.1374078	0.001606044	0.01042715	0.008567945	0.0495368	0.03519779	0.1411104	0.01777561
28000	-1.23095	-19.9563	18.7254	0.07542481	0.0003128136	0.005683713	0.01278765	0.04063192	0.1056087	0.01424814	0.00732701
28500	-7.27236	-19.2372	11.9648	0.2948909	0.001299233	0.008084394	0.04330484	0.02542048	0.002035376	0.1721817	0.05283583
29000	1.333	-18.1559	19.4889	0.09695711	0.0001863868	0.002771873	0.009887754	0.017991	0.0860352	0.0005481386	0.009469994
29500	-2.47996	-18.859	16.379	0.009054416	0.0002716063	0.0002178499	0.04679485	0.2124372	0.03053867	0.01582262	0.06420326
30000	-1.12325	-18.0662	16.9429	0.01601631	0.0007787241	0.0002409998	0.008242898	0.04474062	0.1709264	0.09905323	0.01114718
30500	-5.16232	-22.4882	17.3259	0.1170104	0.001566094	0.001544583	0.06125717	0.02978058	0.09054655	0.003005782	0.02728889
31000	-3.47823	-19.1015	15.6232	0.1333512	0.0007218176	0.00430966	0.07253622	0.007268543	0.1367099	0.05363188	0.008602335
31500	-4.7637	-20.2319	15.4682	0.03643188	0.003203709	0.002574705	0.07437506	0.006656057	0.03517003	0.1764683	0.09000112
32000	-0.241861	-18.368	18.1261	0.01957363	0.0003216506	0.0007058031	0.008143845	0.1251582	0.0104714	0.04539987	0.08221278
