Iteration	Posterior	Likelihood	Prior	r1	r2
49500	-1.94649	-7.20418	5.25769	0.004016177	0.03267242
50000	-2.37526	-7.19889	4.82364	0.006339513	0.05205188
50500	-10.6346	-14.1889	3.55426	0.04907903	0.07278131
51000	-4.15927	-9.50318	5.3439	0.007874783	0.02450323
51500	-4.11882	-7.05505	2.93623	0.01248941	0.1402723
52000	-3.9634	-7.07195	3.10855	0.0126986	0.1314471
52500	-2.49927	-7.43879	4.93952	0.006907587	0.04568963
53000	-3.68043	-8.93963	5.25919	0.007977255	0.02863631
53500	-4.4404	-8.66713	4.22673	0.01805278	0.07018408
54000	-2.17569	-7.5511	5.37541	0.00432771	0.02647507
54500	-5.94753	-7.2999	1.35237	0.01052696	0.2214276
55000	-2.69276	-7.5866	4.89384	0.001876233	0.05300488
55500	-5.73225	-8.61202	2.87977	0.03140903	0.1241757
56000	-3.27211	-7.05424	3.78213	0.00803552	0.1024314
56500	-2.25729	-7.11214	4.85485	0.005487376	0.0513432
57000	-3.14743	-7.51899	4.37155	0.01114083	0.06985474
57500	-4.21134	-7.05963	2.8483	0.01103476	0.1461236
58000	-3.53869	-7.20292	3.66423	0.01268679	0.1036748
58500	-3.11105	-7.20233	4.09128	0.01035215	0.0846571
59000	-5.01886	-8.39379	3.37493	0.02495973	0.1058669
59500	-3.00522	-7.08126	4.07604	0.006197144	0.08957421
60000	-3.07266	-8.32638	5.25372	0.006915785	0.02997137
60500	-3.61403	-7.3395	3.72547	0.01391952	0.09938003
61000	-4.47818	-7.57003	3.09185	0.02048827	0.1244924
61500	-9.83295	-8.11315	-1.7198	0.06769776	0.3178655
62000	-2.53626	-7.13522	4.59895	0.003988484	0.06563713
62500	-3.08404	-7.07935	3.99531	0.006495287	0.09331242
63000	-4.30435	-7.15191	2.84756	0.01612794	0.1410673
63500	-2.40657	-7.46706	5.06048	0.006219636	0.04032941
64000	-3.65356	-7.40622	3.75266	0.004528635	0.1074118
64500	-3.9875	-7.68808	3.70058	0.003595229	0.1109491
65000	-3.49175	-7.2245	3.73275	0.01258908	0.1003466
65500	-2.18123	-7.13945	4.95822	0.005211116	0.04645114
66000	-6.00153	-8.75777	2.75624	0.002432915	0.1593284
66500	-2.59623	-7.60024	5.00402	0.001667988	0.04770437
67000	-1.81224	-7.0548	5.24255	0.003091398	0.03435424
67500	-2.12996	-8.04403	5.91407	0.0003425592	0.003527277
68000	-1.96627	-7.23509	5.26882	0.00408034	0.03205176
68500	-1.95203	-7.05681	5.10478	0.003680749	0.04065367
69000	-8.38307	-11.0571	2.67404	0.05029348	0.1155778
69500	-2.11216	-7.46102	5.34886	0.004291149	0.02783926
70000	-3.15617	-7.24841	4.09224	0.01082935	0.08413178
70500	-2.91785	-7.61674	4.69889	0.009348785	0.05527995
71000	-1.7773	-7.24303	5.46573	0.001263507	0.02502309
71500	-2.90747	-7.79437	4.88691	0.008645037	0.04658272
72000	-5.48304	-7.14232	1.65929	0.02193133	0.1946775
72500	-1.5187	-7.0641	5.5454	0.002002474	0.02030057
73000	-1.61516	-7.04536	5.4302	0.002223626	0.02583958
73500	-3.6394	-7.42186	3.78246	0.01435066	0.09609949
74000	-4.70238	-7.95181	3.24943	0.02278963	0.1143123
74500	-1.53863	-7.18212	5.64349	0.0008481968	0.01655051
75000	-6.78602	-7.13094	0.344921	0.02810968	0.2542175
75500	-5.43679	-7.30886	1.87207	0.009251425	0.1967183
76000	-6.2086	-10.4171	4.2085	0.02491752	0.06423092
76500	-2.80514	-7.59484	4.78971	0.008599052	0.05148874
77000	-3.48333	-7.23031	3.74698	0.005552661	0.1066716
77500	-3.25467	-7.05657	3.8019	0.007826831	0.1016514
78000	-1.37381	-7.06662	5.69281	0.001317236	0.01361555
78500	-2.7252	-7.06203	4.33683	0.007028411	0.07570337
79000	-2.84833	-7.15515	4.30682	0.008679516	0.07555268
79500	-5.52462	-8.92306	3.39844	0.02811255	0.1015386
80000	-2.22539	-7.0679	4.84251	0.004995019	0.05245268
80500	-2.86703	-7.12456	4.25753	0.005068131	0.08162866
81000	-5.86121	-8.96125	3.10004	0.03160454	0.1129667
81500	-5.54847	-7.22498	1.6765	0.02406112	0.191687
82000	-3.02062	-7.17081	4.15019	0.004963893	0.0871
82500	-1.95377	-7.10097	5.1472	0.0039985	0.03821482
83000	-6.30169	-9.63535	3.33366	0.03299154	0.09989867
83500	-4.1122	-7.08622	2.97402	0.009626064	0.1412463
84000	-10.9108	-8.31922	-2.59161	0.008524732	0.4206291
84500	-2.34644	-7.59828	5.25184	0.001250335	0.03573098
85000	-5.02397	-8.79732	3.77335	0.02338943	0.08751646
85500	-1.60528	-7.10648	5.5012	0.002391253	0.02212175
86000	-3.138	-7.05276	3.91476	0.008319898	0.09551531
86500	-1.67926	-7.04806	5.3688	0.002479086	0.02865404
87000	-3.39096	-7.43695	4.04599	0.01275818	0.08451561
87500	-5.57359	-7.05473	1.48115	0.01839477	0.2071211
88000	-4.99064	-7.06163	2.07099	0.01362509	0.1823985
88500	-7.01906	-7.09397	0.0749039	0.02756825	0.2682598
89000	-2.51655	-7.30828	4.79173	0.002696063	0.0572905
89500	-2.70258	-7.79965	5.09708	0.001284121	0.04343531
90000	-3.07107	-7.16715	4.09608	0.005139635	0.08962957
90500	-9.32448	-7.05343	-2.27105	0.03333127	0.3797943
91000	-9.33669	-7.42187	-1.91482	0.05136282	0.3439514
91500	-4.49549	-8.34343	3.84794	0.002095264	0.105081
92000	-2.33795	-7.12655	4.7886	0.005948075	0.0541954
92500	-4.00551	-7.46532	3.45981	0.01688857	0.1096943
93000	-5.38984	-8.06782	2.67798	0.00390547	0.1617688
93500	-3.06677	-7.36204	4.29527	0.01058936	0.07422042
94000	-5.55783	-8.23655	2.67872	0.03021469	0.1354225
94500	-2.38462	-7.9224	5.53778	0.003766222	0.01891788
95000	-3.24014	-8.47902	5.23888	0.007353075	0.03027639
95500	-2.36046	-7.21549	4.85502	0.002868301	0.05395372
96000	-2.75896	-8.56681	5.80785	0.001889892	0.007290636
96500	-2.60026	-7.05463	4.45436	0.005572163	0.07128286
97000	-1.93915	-7.1519	5.21276	0.004003762	0.03493152
97500	-3.53867	-7.05338	3.51471	0.009985957	0.1138519
98000	-3.16902	-7.97674	4.80772	0.001488931	0.05769805
98500	-2.80016	-7.43771	4.63755	0.008883112	0.05881264
99000	-2.3585	-7.09587	4.73737	0.005867611	0.0568371
99500	-5.32572	-7.06092	1.7352	0.01798887	0.1948245
100000	-3.7881	-7.11736	3.32926	0.007894702	0.1252156
100500	-3.66543	-7.72513	4.0597	0.01468389	0.08190449
101000	-4.97113	-7.21404	2.24291	0.020674	0.1667537
101500	-2.46793	-7.05353	4.5856	0.005677025	0.06461627
102000	-1.96031	-7.83706	5.87675	0.0004135826	0.005322137
102500	-7.94714	-7.0766	-0.870531	0.02251956	0.3205802
103000	-2.58551	-7.42222	4.83671	0.002298531	0.0554394
103500	-5.70568	-8.18609	2.48041	0.003812954	0.1717399
104000	-1.8347	-7.1771	5.3424	0.001725125	0.03072832
104500	-1.8126	-7.09774	5.28514	0.003334926	0.03198116
105000	-3.60938	-7.68928	4.0799	0.01430198	0.08127648
105500	-3.87491	-7.64549	3.77058	0.01628483	0.09475952
106000	-2.85665	-7.34257	4.48592	0.009269117	0.06600809
106500	-3.86581	-7.53232	3.6665	0.004170145	0.1120778
107000	-4.97012	-7.05433	2.08421	0.01419997	0.1811628
107500	-6.33059	-7.09257	0.761986	0.02429346	0.2371805
108000	-2.20891	-7.0555	4.84659	0.004698202	0.05254557
108500	-4.36856	-8.9594	4.59085	0.01530354	0.05472741
109000	-3.1818	-7.81521	4.63341	0.001926922	0.06597581
109500	-3.32725	-8.07892	4.75168	0.001449917	0.06053946
110000	-9.88023	-7.55699	-2.32324	0.05835564	0.3573797
110500	-5.90946	-9.42737	3.51791	0.02961158	0.09406621
111000	-5.54647	-10.3099	4.76344	0.01690949	0.04449198
111500	-2.72752	-8.02269	5.29517	0.005943656	0.02887106
112000	-3.00773	-7.34568	4.33795	0.003563852	0.0791117
112500	-2.44137	-7.13112	4.68975	0.006482386	0.05860339
113000	-2.77135	-7.65325	4.88189	0.008166524	0.04731211
113500	-1.94486	-7.06817	5.12331	0.003786239	0.03962151
114000	-9.74333	-7.11295	-2.63039	0.02580422	0.4052884
114500	-4.23152	-7.05207	2.82055	0.0125971	0.1459485
115000	-2.19574	-7.05104	4.8553	0.004429869	0.05237852
115500	-2.3047	-7.09854	4.79384	0.005634661	0.05424674
116000	-2.88062	-7.23812	4.35749	0.009227887	0.07247063
116500	-2.01943	-7.22777	5.20834	0.001941657	0.03721435
117000	-2.80914	-7.12823	4.31909	0.008290683	0.0753282
117500	-2.14058	-7.08224	4.94165	0.004762315	0.04772822
118000	-2.5073	-7.0567	4.5494	0.005960901	0.06614232
118500	-2.6356	-7.56572	4.93012	0.007483867	0.04558322
119000	-7.73428	-8.93238	1.1981	0.05207191	0.1875961
119500	-3.42065	-8.02964	4.60899	0.01180672	0.05731705
120000	-1.415	-7.07207	5.65707	0.001535821	0.01518413
120500	-2.33496	-7.21045	4.87549	0.006133045	0.04966553
121000	-1.96242	-7.07691	5.11449	0.002870564	0.04097814
121500	-2.48714	-7.53221	5.04507	0.001697373	0.0456223
122000	-3.3653	-7.10052	3.73522	0.006942023	0.1058701
122500	-3.41009	-7.06767	3.65758	0.01013504	0.1065593
123000	-2.57761	-7.10389	4.52628	0.006965688	0.06629377
123500	-3.88849	-7.13123	3.24274	0.007931862	0.1295043
124000	-3.45282	-8.1444	4.69158	0.01152611	0.0534683
124500	-3.18338	-7.05332	3.86994	0.007781351	0.09829467
125000	-3.00551	-7.07145	4.06595	0.00642918	0.08984671
125500	-1.40183	-7.03153	5.62971	0.001297814	0.01679015
126000	-5.94691	-7.13935	1.19245	0.0136423	0.2263086
126500	-2.18902	-7.06712	4.8781	0.004827473	0.05084076
127000	-2.78128	-7.31678	4.53551	0.008792154	0.0640058
127500	-4.16935	-7.46719	3.29784	0.005132169	0.1295491
128000	-2.49819	-7.85751	5.35933	0.0008655156	0.03074142
128500	-5.77293	-7.73359	1.96066	0.03075161	0.1707888
129000	-2.90295	-7.36887	4.46592	0.009569514	0.06670783
129500	-4.3466	-7.0568	2.7102	0.01357065	0.1504928
130000	-4.02035	-7.10111	3.08076	0.01376299	0.1317724
130500	-3.02126	-7.08656	4.0653	0.006139	0.09016934
131000	-3.19198	-7.29262	4.10064	0.01120138	0.08334006
131500	-2.4805	-7.32359	4.84309	0.00697158	0.05044715
132000	-2.75175	-7.05468	4.30293	0.006118803	0.07830797
132500	-3.17685	-7.89453	4.71768	0.01036676	0.05332242
133000	-2.049	-7.07397	5.02497	0.004288255	0.04403644
133500	-1.55474	-7.05065	5.49591	0.0020972	0.02268044
134000	-3.66332	-8.25789	4.59457	0.01282162	0.05702296
134500	-6.4028	-7.92845	1.52566	0.03680351	0.1864868
135000	-3.62785	-7.41951	3.79166	0.01426966	0.09572081
135500	-2.83247	-7.95269	5.12022	0.007247267	0.03631493
136000	-3.02888	-8.59737	5.56848	0.0003182882	0.02083087
136500	-5.97268	-7.07863	1.10595	0.01593197	0.2283436
137000	-3.91035	-7.05124	3.14089	0.01115246	0.131376
137500	-2.27295	-7.05184	4.77888	0.00452615	0.05610295
138000	-2.45174	-7.0871	4.63536	0.006222451	0.06158261
138500	-3.68061	-8.05178	4.37117	0.01394131	0.06707339
139000	-3.17428	-7.17422	3.99994	0.01050984	0.08906628
139500	-3.83718	-7.23679	3.39961	0.006357299	0.1232356
140000	-6.09166	-8.23404	2.14238	0.03508022	0.1573738
